2022-01-01 20:43:03.184 | INFO     | __main__:<module>:83 - | start training .... | current model feilong_sct_b2 |
2022-01-01 21:04:22.563 | CRITICAL | __main__:<module>:241 - | epoch : 15 | best_val_dice_score : 0.9174062699216036 |
2022-01-01 21:05:26.258 | INFO     | __main__:<module>:111 - | epoch : 16 | training done |
2022-01-01 21:05:42.332 | INFO     | __main__:<module>:244 - | epoch : 16 | val done |
2022-01-01 21:06:45.576 | INFO     | __main__:<module>:111 - | epoch : 17 | training done |
2022-01-01 21:07:01.962 | INFO     | __main__:<module>:244 - | epoch : 17 | val done |
2022-01-01 21:08:05.108 | INFO     | __main__:<module>:111 - | epoch : 18 | training done |
2022-01-01 21:08:21.539 | INFO     | __main__:<module>:240 - | epoch : 18 | CVC-300 : 0.9372783277738629 | CVC-ClinicDB : 0.9561833652171036 | CVC-ColonDB : 0.8762935352139681 | ETIS-LaribPolypDB : 0.8811451476575209 | Kvasir : 0.937497378205152 |
2022-01-01 21:08:21.540 | CRITICAL | __main__:<module>:241 - | epoch : 18 | best_val_dice_score : 0.9176795508135214 |
2022-01-01 21:09:24.774 | INFO     | __main__:<module>:111 - | epoch : 19 | training done |
2022-01-01 21:09:41.030 | INFO     | __main__:<module>:240 - | epoch : 19 | CVC-300 : 0.9470274104352724 | CVC-ClinicDB : 0.9477245454261314 | CVC-ColonDB : 0.8883201069567693 | ETIS-LaribPolypDB : 0.9033192088460331 | Kvasir : 0.9462486377099772 |
2022-01-01 21:09:41.030 | CRITICAL | __main__:<module>:241 - | epoch : 19 | best_val_dice_score : 0.9265279818748366 |
2022-01-01 21:10:44.665 | INFO     | __main__:<module>:111 - | epoch : 20 | training done |
2022-01-01 21:11:00.981 | INFO     | __main__:<module>:244 - | epoch : 20 | val done |
2022-01-01 21:12:04.208 | INFO     | __main__:<module>:111 - | epoch : 21 | training done |
2022-01-01 21:12:20.521 | INFO     | __main__:<module>:244 - | epoch : 21 | val done |
2022-01-01 21:13:23.886 | INFO     | __main__:<module>:111 - | epoch : 22 | training done |
2022-01-01 21:13:40.129 | INFO     | __main__:<module>:244 - | epoch : 22 | val done |
2022-01-01 21:14:23.780 | INFO     | __main__:<module>:111 - | epoch : 23 | training done |
2022-01-01 21:14:37.470 | INFO     | __main__:<module>:244 - | epoch : 23 | val done |
2022-01-01 21:15:18.247 | INFO     | __main__:<module>:111 - | epoch : 24 | training done |
2022-01-01 21:15:31.981 | INFO     | __main__:<module>:244 - | epoch : 24 | val done |
2022-01-01 21:16:12.661 | INFO     | __main__:<module>:111 - | epoch : 25 | training done |
2022-01-01 21:16:26.185 | INFO     | __main__:<module>:244 - | epoch : 25 | val done |
2022-01-01 21:17:06.821 | INFO     | __main__:<module>:111 - | epoch : 26 | training done |
2022-01-01 21:17:20.316 | INFO     | __main__:<module>:244 - | epoch : 26 | val done |
2022-01-01 21:18:00.954 | INFO     | __main__:<module>:111 - | epoch : 27 | training done |
2022-01-01 21:18:14.335 | INFO     | __main__:<module>:244 - | epoch : 27 | val done |
2022-01-01 21:18:55.058 | INFO     | __main__:<module>:111 - | epoch : 28 | training done |
2022-01-01 21:19:08.474 | INFO     | __main__:<module>:244 - | epoch : 28 | val done |
2022-01-01 21:19:49.232 | INFO     | __main__:<module>:111 - | epoch : 29 | training done |
2022-01-01 21:20:02.707 | INFO     | __main__:<module>:244 - | epoch : 29 | val done |
2022-01-01 21:20:43.326 | INFO     | __main__:<module>:111 - | epoch : 30 | training done |
2022-01-01 21:20:57.369 | INFO     | __main__:<module>:244 - | epoch : 30 | val done |
2022-01-01 21:21:38.057 | INFO     | __main__:<module>:111 - | epoch : 31 | training done |
2022-01-01 21:21:51.516 | INFO     | __main__:<module>:244 - | epoch : 31 | val done |
2022-01-01 21:22:32.153 | INFO     | __main__:<module>:111 - | epoch : 32 | training done |
2022-01-01 21:22:45.680 | INFO     | __main__:<module>:244 - | epoch : 32 | val done |
2022-01-01 21:23:26.355 | INFO     | __main__:<module>:111 - | epoch : 33 | training done |
2022-01-01 21:23:40.103 | INFO     | __main__:<module>:244 - | epoch : 33 | val done |
2022-01-01 21:24:20.808 | INFO     | __main__:<module>:111 - | epoch : 34 | training done |
2022-01-01 21:24:34.545 | INFO     | __main__:<module>:244 - | epoch : 34 | val done |
2022-01-01 21:25:15.324 | INFO     | __main__:<module>:111 - | epoch : 35 | training done |
2022-01-01 21:25:28.956 | INFO     | __main__:<module>:244 - | epoch : 35 | val done |
2022-01-01 21:26:09.692 | INFO     | __main__:<module>:111 - | epoch : 36 | training done |
2022-01-01 21:26:23.386 | INFO     | __main__:<module>:244 - | epoch : 36 | val done |
2022-01-01 21:27:04.054 | INFO     | __main__:<module>:111 - | epoch : 37 | training done |
2022-01-01 21:27:17.867 | INFO     | __main__:<module>:244 - | epoch : 37 | val done |
2022-01-01 21:27:58.590 | INFO     | __main__:<module>:111 - | epoch : 38 | training done |
2022-01-01 21:28:12.273 | INFO     | __main__:<module>:244 - | epoch : 38 | val done |
2022-01-01 21:28:52.938 | INFO     | __main__:<module>:111 - | epoch : 39 | training done |
2022-01-01 21:29:06.626 | INFO     | __main__:<module>:244 - | epoch : 39 | val done |
2022-01-01 21:29:47.291 | INFO     | __main__:<module>:111 - | epoch : 40 | training done |
2022-01-01 21:30:00.884 | INFO     | __main__:<module>:244 - | epoch : 40 | val done |
2022-01-01 21:30:41.663 | INFO     | __main__:<module>:111 - | epoch : 41 | training done |
2022-01-01 21:30:55.401 | INFO     | __main__:<module>:244 - | epoch : 41 | val done |
2022-01-01 21:31:36.073 | INFO     | __main__:<module>:111 - | epoch : 42 | training done |
2022-01-01 21:31:49.627 | INFO     | __main__:<module>:244 - | epoch : 42 | val done |
2022-01-01 21:32:30.362 | INFO     | __main__:<module>:111 - | epoch : 43 | training done |
2022-01-01 21:32:43.989 | INFO     | __main__:<module>:244 - | epoch : 43 | val done |
2022-01-01 21:33:24.616 | INFO     | __main__:<module>:111 - | epoch : 44 | training done |
2022-01-01 21:33:38.228 | INFO     | __main__:<module>:244 - | epoch : 44 | val done |
2022-01-01 21:34:18.924 | INFO     | __main__:<module>:111 - | epoch : 45 | training done |
2022-01-01 21:34:32.521 | INFO     | __main__:<module>:244 - | epoch : 45 | val done |
2022-01-01 21:35:13.224 | INFO     | __main__:<module>:111 - | epoch : 46 | training done |
2022-01-01 21:35:26.901 | INFO     | __main__:<module>:244 - | epoch : 46 | val done |
2022-01-01 21:36:07.596 | INFO     | __main__:<module>:111 - | epoch : 47 | training done |
2022-01-01 21:36:21.246 | INFO     | __main__:<module>:244 - | epoch : 47 | val done |
2022-01-01 21:37:01.922 | INFO     | __main__:<module>:111 - | epoch : 48 | training done |
2022-01-01 21:37:15.488 | INFO     | __main__:<module>:244 - | epoch : 48 | val done |
2022-01-01 21:37:56.217 | INFO     | __main__:<module>:111 - | epoch : 49 | training done |
2022-01-01 21:38:10.052 | INFO     | __main__:<module>:244 - | epoch : 49 | val done |
2022-01-01 21:38:50.675 | INFO     | __main__:<module>:111 - | epoch : 50 | training done |
2022-01-01 21:39:04.250 | INFO     | __main__:<module>:244 - | epoch : 50 | val done |
2022-01-01 21:39:44.946 | INFO     | __main__:<module>:111 - | epoch : 51 | training done |
2022-01-01 21:39:58.636 | INFO     | __main__:<module>:244 - | epoch : 51 | val done |
2022-01-01 21:40:39.319 | INFO     | __main__:<module>:111 - | epoch : 52 | training done |
2022-01-01 21:40:53.074 | INFO     | __main__:<module>:244 - | epoch : 52 | val done |
2022-01-01 21:41:33.738 | INFO     | __main__:<module>:111 - | epoch : 53 | training done |
2022-01-01 21:41:47.395 | INFO     | __main__:<module>:244 - | epoch : 53 | val done |
2022-01-01 21:42:28.130 | INFO     | __main__:<module>:111 - | epoch : 54 | training done |
2022-01-01 21:42:41.755 | INFO     | __main__:<module>:244 - | epoch : 54 | val done |
2022-01-01 21:43:22.447 | INFO     | __main__:<module>:111 - | epoch : 55 | training done |
2022-01-01 21:43:36.074 | INFO     | __main__:<module>:244 - | epoch : 55 | val done |
2022-01-01 21:44:16.829 | INFO     | __main__:<module>:111 - | epoch : 56 | training done |
2022-01-01 21:44:30.472 | INFO     | __main__:<module>:244 - | epoch : 56 | val done |
2022-01-01 21:45:11.142 | INFO     | __main__:<module>:111 - | epoch : 57 | training done |
2022-01-01 21:45:24.655 | INFO     | __main__:<module>:244 - | epoch : 57 | val done |
2022-01-01 21:46:05.296 | INFO     | __main__:<module>:111 - | epoch : 58 | training done |
2022-01-01 21:46:18.994 | INFO     | __main__:<module>:244 - | epoch : 58 | val done |
2022-01-01 21:46:59.672 | INFO     | __main__:<module>:111 - | epoch : 59 | training done |
2022-01-01 21:47:13.258 | INFO     | __main__:<module>:244 - | epoch : 59 | val done |
2022-01-01 21:47:53.907 | INFO     | __main__:<module>:111 - | epoch : 60 | training done |
2022-01-01 21:48:07.620 | INFO     | __main__:<module>:244 - | epoch : 60 | val done |
2022-01-01 21:48:48.284 | INFO     | __main__:<module>:111 - | epoch : 61 | training done |
2022-01-01 21:49:01.986 | INFO     | __main__:<module>:244 - | epoch : 61 | val done |
2022-01-01 21:49:42.645 | INFO     | __main__:<module>:111 - | epoch : 62 | training done |
2022-01-01 21:49:56.372 | INFO     | __main__:<module>:244 - | epoch : 62 | val done |
2022-01-01 21:50:37.003 | INFO     | __main__:<module>:111 - | epoch : 63 | training done |
2022-01-01 21:50:50.796 | INFO     | __main__:<module>:244 - | epoch : 63 | val done |
2022-01-01 21:51:31.455 | INFO     | __main__:<module>:111 - | epoch : 64 | training done |
2022-01-01 21:51:44.971 | INFO     | __main__:<module>:244 - | epoch : 64 | val done |
