2022-01-02 13:13:27.943 | INFO     | __main__:<module>:83 - | start training .... | current model feilong_conv_b2 |
2022-01-02 14:17:02.909 | INFO     | __main__:<module>:111 - | epoch : 42 | training done |
2022-01-02 14:17:19.701 | INFO     | __main__:<module>:244 - | epoch : 42 | val done |
2022-01-02 14:18:27.038 | INFO     | __main__:<module>:111 - | epoch : 43 | training done |
2022-01-02 14:18:43.804 | INFO     | __main__:<module>:244 - | epoch : 43 | val done |
2022-01-02 14:19:51.306 | INFO     | __main__:<module>:111 - | epoch : 44 | training done |
2022-01-02 14:20:08.414 | INFO     | __main__:<module>:244 - | epoch : 44 | val done |
2022-01-02 14:21:15.737 | INFO     | __main__:<module>:111 - | epoch : 45 | training done |
2022-01-02 14:21:32.756 | INFO     | __main__:<module>:244 - | epoch : 45 | val done |
2022-01-02 14:22:40.530 | INFO     | __main__:<module>:111 - | epoch : 46 | training done |
2022-01-02 14:22:57.264 | INFO     | __main__:<module>:244 - | epoch : 46 | val done |
2022-01-02 14:24:05.157 | INFO     | __main__:<module>:111 - | epoch : 47 | training done |
2022-01-02 14:24:22.091 | INFO     | __main__:<module>:244 - | epoch : 47 | val done |
2022-01-02 14:25:30.676 | INFO     | __main__:<module>:111 - | epoch : 48 | training done |
2022-01-02 14:25:47.405 | INFO     | __main__:<module>:244 - | epoch : 48 | val done |
2022-01-02 14:26:56.032 | INFO     | __main__:<module>:111 - | epoch : 49 | training done |
2022-01-02 14:27:12.733 | INFO     | __main__:<module>:244 - | epoch : 49 | val done |
2022-01-02 14:28:21.563 | INFO     | __main__:<module>:111 - | epoch : 50 | training done |
2022-01-02 14:28:38.552 | INFO     | __main__:<module>:244 - | epoch : 50 | val done |
2022-01-02 14:29:47.724 | INFO     | __main__:<module>:111 - | epoch : 51 | training done |
2022-01-02 14:30:04.540 | INFO     | __main__:<module>:244 - | epoch : 51 | val done |
2022-01-02 14:31:13.743 | INFO     | __main__:<module>:111 - | epoch : 52 | training done |
2022-01-02 14:31:30.305 | INFO     | __main__:<module>:244 - | epoch : 52 | val done |
2022-01-02 14:32:40.020 | INFO     | __main__:<module>:111 - | epoch : 53 | training done |
2022-01-02 14:32:56.783 | INFO     | __main__:<module>:244 - | epoch : 53 | val done |
2022-01-02 14:34:06.606 | INFO     | __main__:<module>:111 - | epoch : 54 | training done |
2022-01-02 14:34:23.216 | INFO     | __main__:<module>:244 - | epoch : 54 | val done |
2022-01-02 14:35:33.370 | INFO     | __main__:<module>:111 - | epoch : 55 | training done |
2022-01-02 14:35:50.181 | INFO     | __main__:<module>:244 - | epoch : 55 | val done |
2022-01-02 14:37:00.345 | INFO     | __main__:<module>:111 - | epoch : 56 | training done |
2022-01-02 14:37:16.808 | INFO     | __main__:<module>:244 - | epoch : 56 | val done |
2022-01-02 14:38:27.592 | INFO     | __main__:<module>:111 - | epoch : 57 | training done |
2022-01-02 14:38:44.181 | INFO     | __main__:<module>:244 - | epoch : 57 | val done |
2022-01-02 14:39:54.874 | INFO     | __main__:<module>:111 - | epoch : 58 | training done |
2022-01-02 14:40:11.404 | INFO     | __main__:<module>:244 - | epoch : 58 | val done |
2022-01-02 14:41:22.397 | INFO     | __main__:<module>:111 - | epoch : 59 | training done |
2022-01-02 14:41:39.159 | INFO     | __main__:<module>:244 - | epoch : 59 | val done |
2022-01-02 14:42:50.124 | INFO     | __main__:<module>:111 - | epoch : 60 | training done |
2022-01-02 14:43:06.493 | INFO     | __main__:<module>:244 - | epoch : 60 | val done |
2022-01-02 14:44:17.654 | INFO     | __main__:<module>:111 - | epoch : 61 | training done |
2022-01-02 14:44:33.986 | INFO     | __main__:<module>:244 - | epoch : 61 | val done |
2022-01-02 14:45:45.200 | INFO     | __main__:<module>:111 - | epoch : 62 | training done |
2022-01-02 14:46:01.528 | INFO     | __main__:<module>:244 - | epoch : 62 | val done |
2022-01-02 14:47:13.238 | INFO     | __main__:<module>:111 - | epoch : 63 | training done |
2022-01-02 14:47:29.816 | INFO     | __main__:<module>:244 - | epoch : 63 | val done |
2022-01-02 14:48:41.788 | INFO     | __main__:<module>:111 - | epoch : 64 | training done |
2022-01-02 14:48:58.231 | INFO     | __main__:<module>:244 - | epoch : 64 | val done |
2022-01-02 14:50:10.415 | INFO     | __main__:<module>:111 - | epoch : 65 | training done |
2022-01-02 14:50:26.622 | INFO     | __main__:<module>:244 - | epoch : 65 | val done |
2022-01-02 14:51:39.158 | INFO     | __main__:<module>:111 - | epoch : 66 | training done |
2022-01-02 14:51:55.027 | INFO     | __main__:<module>:244 - | epoch : 66 | val done |
2022-01-02 14:53:07.756 | INFO     | __main__:<module>:111 - | epoch : 67 | training done |
2022-01-02 14:53:23.486 | INFO     | __main__:<module>:244 - | epoch : 67 | val done |
2022-01-02 14:54:36.334 | INFO     | __main__:<module>:111 - | epoch : 68 | training done |
2022-01-02 14:54:52.447 | INFO     | __main__:<module>:244 - | epoch : 68 | val done |
2022-01-02 14:56:05.541 | INFO     | __main__:<module>:111 - | epoch : 69 | training done |
2022-01-02 14:56:21.500 | INFO     | __main__:<module>:244 - | epoch : 69 | val done |
2022-01-02 14:57:34.740 | INFO     | __main__:<module>:111 - | epoch : 70 | training done |
2022-01-02 14:57:50.581 | INFO     | __main__:<module>:244 - | epoch : 70 | val done |
2022-01-02 14:59:04.030 | INFO     | __main__:<module>:111 - | epoch : 71 | training done |
2022-01-02 14:59:20.143 | INFO     | __main__:<module>:244 - | epoch : 71 | val done |
2022-01-02 15:00:34.130 | INFO     | __main__:<module>:111 - | epoch : 72 | training done |
2022-01-02 15:00:50.565 | INFO     | __main__:<module>:244 - | epoch : 72 | val done |
2022-01-02 15:02:04.506 | INFO     | __main__:<module>:111 - | epoch : 73 | training done |
2022-01-02 15:02:20.525 | INFO     | __main__:<module>:244 - | epoch : 73 | val done |
2022-01-02 15:03:34.900 | INFO     | __main__:<module>:111 - | epoch : 74 | training done |
2022-01-02 15:03:50.772 | INFO     | __main__:<module>:244 - | epoch : 74 | val done |
2022-01-02 15:05:05.409 | INFO     | __main__:<module>:111 - | epoch : 75 | training done |
2022-01-02 15:05:21.533 | INFO     | __main__:<module>:244 - | epoch : 75 | val done |
2022-01-02 15:06:36.120 | INFO     | __main__:<module>:111 - | epoch : 76 | training done |
2022-01-02 15:06:52.028 | INFO     | __main__:<module>:244 - | epoch : 76 | val done |
2022-01-02 15:08:06.889 | INFO     | __main__:<module>:111 - | epoch : 77 | training done |
2022-01-02 15:08:22.248 | INFO     | __main__:<module>:244 - | epoch : 77 | val done |
2022-01-02 15:09:37.810 | INFO     | __main__:<module>:111 - | epoch : 78 | training done |
2022-01-02 15:09:53.465 | INFO     | __main__:<module>:244 - | epoch : 78 | val done |
2022-01-02 15:11:09.275 | INFO     | __main__:<module>:111 - | epoch : 79 | training done |
2022-01-02 15:11:25.461 | INFO     | __main__:<module>:244 - | epoch : 79 | val done |
2022-01-02 15:12:41.165 | INFO     | __main__:<module>:111 - | epoch : 80 | training done |
2022-01-02 15:12:56.834 | INFO     | __main__:<module>:244 - | epoch : 80 | val done |
2022-01-02 15:14:13.291 | INFO     | __main__:<module>:111 - | epoch : 81 | training done |
2022-01-02 15:14:28.571 | INFO     | __main__:<module>:244 - | epoch : 81 | val done |
2022-01-02 15:15:45.507 | INFO     | __main__:<module>:111 - | epoch : 82 | training done |
2022-01-02 15:16:01.681 | INFO     | __main__:<module>:244 - | epoch : 82 | val done |
2022-01-02 15:17:18.570 | INFO     | __main__:<module>:111 - | epoch : 83 | training done |
2022-01-02 15:17:34.123 | INFO     | __main__:<module>:244 - | epoch : 83 | val done |
2022-01-02 15:18:51.244 | INFO     | __main__:<module>:111 - | epoch : 84 | training done |
2022-01-02 15:19:06.891 | INFO     | __main__:<module>:244 - | epoch : 84 | val done |
2022-01-02 15:20:24.708 | INFO     | __main__:<module>:111 - | epoch : 85 | training done |
2022-01-02 15:20:41.132 | INFO     | __main__:<module>:244 - | epoch : 85 | val done |
2022-01-02 15:21:59.042 | INFO     | __main__:<module>:111 - | epoch : 86 | training done |
2022-01-02 15:22:14.751 | INFO     | __main__:<module>:244 - | epoch : 86 | val done |
2022-01-02 19:25:02.667 | INFO     | __main__:<module>:83 - | start training .... | current model srm_b2_skip |
2022-01-02 19:26:11.145 | INFO     | __main__:<module>:111 - | epoch : 0 | training done |
2022-01-02 19:26:25.641 | INFO     | __main__:<module>:240 - | epoch : 0 | CVC-300 : 0.8604097433401963 | CVC-ClinicDB : 0.8974838918356947 | CVC-ColonDB : 0.814200951011168 | ETIS-LaribPolypDB : 0.8032287337717778 | Kvasir : 0.8945535588253661 |
2022-01-02 19:26:25.641 | CRITICAL | __main__:<module>:241 - | epoch : 0 | best_val_dice_score : 0.8539753757568406 |
2022-01-02 19:27:03.311 | INFO     | __main__:<module>:111 - | epoch : 1 | training done |
2022-01-02 19:27:16.237 | INFO     | __main__:<module>:240 - | epoch : 1 | CVC-300 : 0.9291834906686134 | CVC-ClinicDB : 0.9104605276532848 | CVC-ColonDB : 0.8406930475494857 | ETIS-LaribPolypDB : 0.8585537074349489 | Kvasir : 0.905442969708205 |
2022-01-02 19:27:16.237 | CRITICAL | __main__:<module>:241 - | epoch : 1 | best_val_dice_score : 0.8888667486029075 |
2022-01-02 19:27:54.137 | INFO     | __main__:<module>:111 - | epoch : 2 | training done |
2022-01-02 19:28:06.805 | INFO     | __main__:<module>:244 - | epoch : 2 | val done |
2022-01-02 19:28:44.482 | INFO     | __main__:<module>:111 - | epoch : 3 | training done |
2022-01-02 19:28:57.458 | INFO     | __main__:<module>:244 - | epoch : 3 | val done |
2022-01-02 19:29:35.005 | INFO     | __main__:<module>:111 - | epoch : 4 | training done |
2022-01-02 19:29:47.959 | INFO     | __main__:<module>:240 - | epoch : 4 | CVC-300 : 0.8968576084700819 | CVC-ClinicDB : 0.9309989731233302 | CVC-ColonDB : 0.8697524570863977 | ETIS-LaribPolypDB : 0.8557332783726938 | Kvasir : 0.9397404806486668 |
2022-01-02 19:29:47.960 | CRITICAL | __main__:<module>:241 - | epoch : 4 | best_val_dice_score : 0.898616559540234 |
2022-01-02 19:30:25.850 | INFO     | __main__:<module>:111 - | epoch : 5 | training done |
2022-01-02 19:30:38.527 | INFO     | __main__:<module>:244 - | epoch : 5 | val done |
2022-01-02 19:31:16.092 | INFO     | __main__:<module>:111 - | epoch : 6 | training done |
2022-01-02 19:31:28.958 | INFO     | __main__:<module>:240 - | epoch : 6 | CVC-300 : 0.8970300271068792 | CVC-ClinicDB : 0.9593440386775358 | CVC-ColonDB : 0.8583036607930552 | ETIS-LaribPolypDB : 0.8495653693951354 | Kvasir : 0.9357462985797533 |
2022-01-02 19:31:28.958 | CRITICAL | __main__:<module>:241 - | epoch : 6 | best_val_dice_score : 0.8999978789104718 |
2022-01-02 19:32:06.916 | INFO     | __main__:<module>:111 - | epoch : 7 | training done |
2022-01-02 19:32:19.770 | INFO     | __main__:<module>:244 - | epoch : 7 | val done |
2022-01-02 19:32:57.309 | INFO     | __main__:<module>:111 - | epoch : 8 | training done |
2022-01-02 19:33:10.268 | INFO     | __main__:<module>:240 - | epoch : 8 | CVC-300 : 0.9138539461606925 | CVC-ClinicDB : 0.9398423062382713 | CVC-ColonDB : 0.8546630667889108 | ETIS-LaribPolypDB : 0.8556410696233806 | Kvasir : 0.9422670726860496 |
2022-01-02 19:33:10.269 | CRITICAL | __main__:<module>:241 - | epoch : 8 | best_val_dice_score : 0.901253492299461 |
2022-01-02 19:33:48.180 | INFO     | __main__:<module>:111 - | epoch : 9 | training done |
2022-01-02 19:34:00.853 | INFO     | __main__:<module>:244 - | epoch : 9 | val done |
2022-01-02 19:34:38.437 | INFO     | __main__:<module>:111 - | epoch : 10 | training done |
2022-01-02 19:34:51.437 | INFO     | __main__:<module>:240 - | epoch : 10 | CVC-300 : 0.9269526321250257 | CVC-ClinicDB : 0.9591125739807372 | CVC-ColonDB : 0.8837350031373941 | ETIS-LaribPolypDB : 0.8871118514447389 | Kvasir : 0.942770953595087 |
2022-01-02 19:34:51.438 | CRITICAL | __main__:<module>:241 - | epoch : 10 | best_val_dice_score : 0.9199366028565965 |
2022-01-02 19:35:29.924 | INFO     | __main__:<module>:111 - | epoch : 11 | training done |
2022-01-02 19:35:42.546 | INFO     | __main__:<module>:244 - | epoch : 11 | val done |
2022-01-02 19:36:20.677 | INFO     | __main__:<module>:111 - | epoch : 12 | training done |
2022-01-02 19:36:33.499 | INFO     | __main__:<module>:240 - | epoch : 12 | CVC-300 : 0.9281484997750268 | CVC-ClinicDB : 0.9511000820065514 | CVC-ColonDB : 0.8905670702394572 | ETIS-LaribPolypDB : 0.884603104329328 | Kvasir : 0.950230548634538 |
2022-01-02 19:36:33.500 | CRITICAL | __main__:<module>:241 - | epoch : 12 | best_val_dice_score : 0.9209298609969803 |
2022-01-02 19:37:11.459 | INFO     | __main__:<module>:111 - | epoch : 13 | training done |
2022-01-02 19:37:24.200 | INFO     | __main__:<module>:244 - | epoch : 13 | val done |
2022-01-02 19:38:01.707 | INFO     | __main__:<module>:111 - | epoch : 14 | training done |
2022-01-02 19:38:14.771 | INFO     | __main__:<module>:244 - | epoch : 14 | val done |
2022-01-02 19:38:52.327 | INFO     | __main__:<module>:111 - | epoch : 15 | training done |
2022-01-02 19:39:05.115 | INFO     | __main__:<module>:244 - | epoch : 15 | val done |
2022-01-02 19:39:42.715 | INFO     | __main__:<module>:111 - | epoch : 16 | training done |
2022-01-02 19:39:55.666 | INFO     | __main__:<module>:244 - | epoch : 16 | val done |
2022-01-02 19:40:33.241 | INFO     | __main__:<module>:111 - | epoch : 17 | training done |
2022-01-02 19:40:46.053 | INFO     | __main__:<module>:244 - | epoch : 17 | val done |
2022-01-02 19:41:23.620 | INFO     | __main__:<module>:111 - | epoch : 18 | training done |
2022-01-02 19:41:36.780 | INFO     | __main__:<module>:244 - | epoch : 18 | val done |
2022-01-02 19:42:15.374 | INFO     | __main__:<module>:111 - | epoch : 19 | training done |
2022-01-02 19:42:31.817 | INFO     | __main__:<module>:244 - | epoch : 19 | val done |
2022-01-02 19:43:43.648 | INFO     | __main__:<module>:111 - | epoch : 20 | training done |
2022-01-02 19:44:00.351 | INFO     | __main__:<module>:244 - | epoch : 20 | val done |
2022-01-02 19:45:12.293 | INFO     | __main__:<module>:111 - | epoch : 21 | training done |
2022-01-02 19:45:28.542 | INFO     | __main__:<module>:240 - | epoch : 21 | CVC-300 : 0.9342143309549615 | CVC-ClinicDB : 0.9545348535274512 | CVC-ColonDB : 0.8837387110751105 | ETIS-LaribPolypDB : 0.8867249169056544 | Kvasir : 0.9523159582501681 |
2022-01-02 19:45:28.542 | CRITICAL | __main__:<module>:241 - | epoch : 21 | best_val_dice_score : 0.9223057541426691 |
2022-01-02 19:46:35.427 | INFO     | __main__:<module>:111 - | epoch : 22 | training done |
2022-01-02 19:46:52.514 | INFO     | __main__:<module>:240 - | epoch : 22 | CVC-300 : 0.9294580399586472 | CVC-ClinicDB : 0.9561104090460077 | CVC-ColonDB : 0.8851858679114262 | ETIS-LaribPolypDB : 0.8966987571800757 | Kvasir : 0.9520880161471698 |
2022-01-02 19:46:52.514 | CRITICAL | __main__:<module>:241 - | epoch : 22 | best_val_dice_score : 0.9239082180486653 |
2022-01-02 19:48:02.568 | INFO     | __main__:<module>:111 - | epoch : 23 | training done |
2022-01-02 19:48:19.782 | INFO     | __main__:<module>:240 - | epoch : 23 | CVC-300 : 0.9316815237457792 | CVC-ClinicDB : 0.961998687609628 | CVC-ColonDB : 0.8932315899598162 | ETIS-LaribPolypDB : 0.8989291495997298 | Kvasir : 0.9557680359442179 |
2022-01-02 19:48:19.782 | CRITICAL | __main__:<module>:241 - | epoch : 23 | best_val_dice_score : 0.9283217973718342 |
2022-01-02 19:49:24.894 | INFO     | __main__:<module>:111 - | epoch : 24 | training done |
2022-01-02 19:49:42.229 | INFO     | __main__:<module>:244 - | epoch : 24 | val done |
2022-01-02 19:50:52.966 | INFO     | __main__:<module>:111 - | epoch : 25 | training done |
2022-01-02 19:51:10.238 | INFO     | __main__:<module>:244 - | epoch : 25 | val done |
2022-01-02 19:52:19.566 | INFO     | __main__:<module>:111 - | epoch : 26 | training done |
2022-01-02 19:52:34.688 | INFO     | __main__:<module>:244 - | epoch : 26 | val done |
2022-01-02 19:53:46.417 | INFO     | __main__:<module>:111 - | epoch : 27 | training done |
2022-01-02 19:54:03.321 | INFO     | __main__:<module>:244 - | epoch : 27 | val done |
2022-01-02 19:55:14.495 | INFO     | __main__:<module>:111 - | epoch : 28 | training done |
2022-01-02 19:55:31.669 | INFO     | __main__:<module>:244 - | epoch : 28 | val done |
2022-01-02 19:56:34.598 | INFO     | __main__:<module>:111 - | epoch : 29 | training done |
2022-01-02 19:56:52.080 | INFO     | __main__:<module>:244 - | epoch : 29 | val done |
2022-01-02 19:58:04.153 | INFO     | __main__:<module>:111 - | epoch : 30 | training done |
2022-01-02 19:58:21.819 | INFO     | __main__:<module>:244 - | epoch : 30 | val done |
2022-01-02 19:59:26.893 | INFO     | __main__:<module>:111 - | epoch : 31 | training done |
